user_id,item_id,rating
A2D85AOYXH9NOD,143916469X,2.0
A3ABOET1RV7AQM,082483383X,5.0
A24WRNE7IPVDI5,1770851011,5.0
A3FBUESMI6SJRN,0778313654,2.0
A3E93JI23O2B9H,1477820876,3.0
AZBUS0BVUN83L,0374281092,5.0
A3DFTZIBVLLXK1,0615288715,1.0
A117EYX16M65JV,0486461874,5.0
AY9DPY2E4AX89,194205209X,4.0
A3VJLASQ8Q91BW,0996843221,5.0
AG8HZSAYQTKZA,0071627162,2.0
AGJXYS2J1HE2Z,1479271721,5.0
A1POFVVXUZR3IQ,0312382561,5.0
AO00I2TVC9LBB,1470173328,5.0
A2UA5OAX4K7K4Y,1530894506,5.0
A26CAVCX0CH3BN,0141353678,4.0
A39K0X3OH4SSZL,1482089246,5.0
A35EVAV90Q43JX,1401912478,5.0
A1481165D3UJXZ,1605305014,3.0
A283U5BP7OJUYF,B001MVNGCU,5.0
AAKO4YAM9BZE5,0061084158,4.0
AVJ4Q1DB8AIX,0345543246,5.0
A1MYBWVKIW9Q24,0802122051,5.0
A20J4RVTNOUSVF,1503954420,5.0
A13INY70513RXI,1442391235,5.0
A1JO7J0RRM65AK,098271713X,5.0
A1KIP1M9DJY9GP,0385323069,1.0
A11VCNM6V8N1WB,1451637969,5.0
AMWN84YYENS2M,2253195103,1.0
A29HS1DJDSNZO2,0192838415,5.0
A3DUI3LZHPQ8ZS,1250045924,1.0
A2U9JLVFHYR8CT,0007141424,3.0
A603QMHUERIPE,0062419013,5.0
A3ICNR9APGP07S,1421590158,5.0
A35ODF5EPZ73T8,0071441190,5.0
A1I8UMOJC63EOY,0446539864,2.0
A1K5X4ZR2E686V,0399145877,4.0
A2EWKUPO4Z2BB1,1500718033,5.0
A2H2WKARZDE12O,1406330337,3.0
ADSWKDXUIYFPO,1578632579,5.0
A15GZQ558GFYQ9,031020707X,5.0
A25IK0GM2BIXJA,0099553473,4.0
A2Z2DRYUAHDOFH,0307280721,5.0
A258VXN9H5WL4R,1493766260,5.0
A2R2I893PCS77F,B004HO5VQI,5.0
A22RY8N8CNDF3A,158243820X,2.0
A38YBUOBXZ222X,0984991980,5.0
A1GOS3MP4UAY0H,1440072035,5.0
A3BK18WNUFIWZB,0804136912,5.0
AIJ3STG17S6R9,0802847684,5.0
A2W4Z0J9DFZFSR,1502791323,5.0
A2EW5LGGGHA37P,0316055433,2.0
A319R5VXNGQ000,1503938298,4.0
A2OEKYH7PDSTQI,1477830863,5.0
A2CKLSVYH96WSN,0990851214,4.0
A2OBDPVJKF118G,1939811104,3.0
A1UGKTZ5611JHQ,0810912465,5.0
A2TBGQFHBD3SA9,1484107365,5.0
A2DKFFDRXZSQK,1452128308,4.0
A2WLBF0B6FVA9R,0078029252,5.0
AW161RZJ9B0BY,1503949613,5.0
A10OCUH8R1RJ8I,1477691898,5.0
A1Z98B9XAK0T92,0399154094,2.0
AJVP5OV6856XY,0312577222,5.0
A3G21GEBTGSFMB,1503936805,5.0
APBYW9BSH3S3I,1484044177,5.0
A3AKB70GAXD9AB,1519762429,4.0
A31NIRGA00V7IB,042521396X,4.0
A313H6238N589,1591395771,2.0
A3LAS438MSFRL1,0312018649,5.0
A25HYMXUJ1NZGR,1482609509,5.0
A2ZP3YCNP5CVPU,0785131078,4.0
A2CFMEK4YQQ8X9,0758295146,5.0
A12I5VGEMUK0DS,1503952711,2.0
A2FAB644NJPJDU,1937608603,3.0
A1K22C5GZZTZD,0307594173,5.0
AFK0IRWW90USA,1590300858,5.0
AG6HDGM3B7243,1497462703,5.0
A27F5WVM1ZSBXA,0805448888,1.0
A2AZA5DCQSCI17,0064301389,5.0
AHR81Z840ULHQ,8184776217,5.0
A23PYNW4IW1J80,1979957592,5.0
A38MUDSIBAM87Z,0091900212,5.0
A19GW7YPPFBG25,1458766314,5.0
AXLRY6PKNU4NU,0340234318,5.0
AFIVWEHRM958Q,099474272X,5.0
AWOLKNWX7PVC1,0544838262,5.0
A1KY7J4P8V4VVO,1926760689,4.0
A232DS6R8QF657,147929361X,5.0
A263RE5QDM4ZHU,0800757432,5.0
A37KP96BP6JXJS,0689874235,3.0
AR4BJNPRDQPVK,1492958468,4.0
A39N4KW57NSVYJ,0099429799,1.0
AWLT6ENJNXN7U,0143121707,5.0
AF07ZSY5ZN7TF,1613757808,5.0
A2IQM34ZEKPLPX,0060852569,5.0
A17X6BP96W1N0T,1491500484,4.0
A386CNLWZUF3EH,1511761822,3.0
A22T2IFBAUMVYE,1626470669,4.0
A3V1SNKP0EP1ZD,0439023521,5.0
A1Q45756PX0ZE,0385339151,5.0
A2CWIYIETNBAK3,054478538X,4.0
AMS25JBKJGF6D,0465086438,5.0
A3R19YKNL641X3,0735712867,5.0
A30BNOCU08UBSC,0062501321,5.0
A1N65H0SS5GKVF,1500514225,5.0
A12LOY44UR20TA,006236278X,5.0
AWOMGYSJ23NYH,0147515742,4.0
A43P0V05RM3SR,B00CYZC5S4,5.0
A1I0OUXMAAT62C,0312425732,3.0
A1O0IH45H28LEI,0964261081,5.0
A36KJ23NBDHPZA,0985848251,5.0
A2FXALZOTFTFXP,0142428280,5.0
AV3CZBGT4TG2I,0878162526,5.0
A1LHHD6W2RMPNR,0425256189,5.0
A1PZAQZ83I3VTX,1622538633,3.0
A1FV33BOO0N71G,149979178X,3.0
A1CKPGDJOLT5H,1442413476,5.0
A3HKPW2TI5L41X,1547048905,5.0
A101GN97A47S1P,0738532525,5.0
A1VH9F984R5HJX,098271713X,5.0
A1EI5DNHDUC9X5,1462049931,5.0
A21V8OGED1NJEU,0553212737,4.0
A3O494645Z3G4F,0307267148,5.0
A1ITT2PAGBJOWH,1477826556,5.0
A1167RGXBQY7JP,1941220185,5.0
A1V1F0O2OU5PL9,1483966763,5.0
A26IGKVYGP5859,1410478750,4.0
A1HOKQT7N0PZSQ,0986223530,5.0
ARA2A2P19XJYJ,1973305267,4.0
AV2AUABTBVJVS,0060836946,5.0
AY5E0O8II03DY,1987987268,5.0
A1X72CDJ5E9RR5,0764212753,5.0
A2DYUVU5HVEAWA,1521243832,3.0
AUT57EK1F943J,1934490431,5.0
APDUB3OB6UPC1,0811874451,5.0
A1SYWJGMWFUEVY,014312546X,1.0
A19DAVU4E7GO15,1937274144,5.0
A3RWPE59UY0P9P,1633631559,5.0
A1GF5H2FMXRH7Z,1463514581,5.0
ASMEDIYTWHGLA,0062237209,3.0
A1SYXWWF2SKVEZ,0143142801,5.0
A3E4H5A1X8NJRR,0373002572,5.0
A1BH69BCSXXK1I,0307931382,5.0
A3KDW21KKFI3P8,3833484527,5.0
A18K3OMORDL7DY,0374273537,5.0
